DATE,HOUST
2003-01-01,1853
2003-02-01,1629
2003-03-01,1726
2003-04-01,1643
2003-05-01,1751
2003-06-01,1867
2003-07-01,1897
2003-08-01,1833
2003-09-01,1939
2003-10-01,1967
2003-11-01,2083
2003-12-01,2057
2004-01-01,1911
2004-02-01,1846
2004-03-01,1998
2004-04-01,2003
2004-05-01,1981
2004-06-01,1828
2004-07-01,2002
2004-08-01,2024
2004-09-01,1905
2004-10-01,2072
2004-11-01,1782
2004-12-01,2042
2005-01-01,2144
2005-02-01,2207
2005-03-01,1864
2005-04-01,2061
2005-05-01,2025
2005-06-01,2068
2005-07-01,2054
2005-08-01,2095
2005-09-01,2151
2005-10-01,2065
2005-11-01,2147
2005-12-01,1994
2006-01-01,2273
2006-02-01,2119
2006-03-01,1969
2006-04-01,1821
2006-05-01,1942
2006-06-01,1802
2006-07-01,1737
2006-08-01,1650
2006-09-01,1720
2006-10-01,1491
2006-11-01,1570
2006-12-01,1649
2007-01-01,1409
2007-02-01,1480
2007-03-01,1495
2007-04-01,1490
2007-05-01,1415
2007-06-01,1448
2007-07-01,1354
2007-08-01,1330
2007-09-01,1183
2007-10-01,1264
2007-11-01,1197
2007-12-01,1037
2008-01-01,1084
2008-02-01,1103
2008-03-01,1005
2008-04-01,1013
2008-05-01,973
2008-06-01,1046
2008-07-01,923
2008-08-01,844
2008-09-01,820
2008-10-01,777
2008-11-01,652
2008-12-01,560
2009-01-01,490
2009-02-01,582
2009-03-01,505
2009-04-01,478
2009-05-01,540
2009-06-01,585
2009-07-01,594
2009-08-01,586
2009-09-01,585
2009-10-01,534
2009-11-01,588
2009-12-01,581
2010-01-01,614
2010-02-01,604
2010-03-01,636
2010-04-01,687
2010-05-01,583
2010-06-01,536
2010-07-01,546
2010-08-01,599
2010-09-01,594
2010-10-01,543
2010-11-01,545
2010-12-01,539
2011-01-01,630
2011-02-01,517
2011-03-01,600
2011-04-01,554
2011-05-01,561
2011-06-01,608
2011-07-01,623
2011-08-01,585
2011-09-01,650
2011-10-01,610
2011-11-01,711
2011-12-01,694
2012-01-01,723
2012-02-01,704
2012-03-01,695
2012-04-01,753
2012-05-01,708
2012-06-01,757
2012-07-01,740
2012-08-01,754
2012-09-01,847
2012-10-01,915
2012-11-01,833
2012-12-01,976
2013-01-01,888
2013-02-01,962.0
2013-03-01,1010.0
2013-04-01,835.0
2013-05-01,930.0
2013-06-01,839.0
2013-07-01,880.0
2013-08-01,917.0
2013-09-01,850.0
2013-10-01,925.0
2013-11-01,1100.0
2013-12-01,1002.0
2014-01-01,888.0
2014-02-01,944.0
2014-03-01,970.0
2014-04-01,1043.0
2014-05-01,1007.0
2014-06-01,911.0
2014-07-01,1085.0
2014-08-01,984.0
2014-09-01,1023.0
2014-10-01,1074.0
2014-11-01,1001.0
2014-12-01,1073.0
2015-01-01,1085.0
2015-02-01,886.0
2015-03-01,960.0
2015-04-01,1190.0
2015-05-01,1079.0
2015-06-01,1205.0
2015-07-01,1146.0
2015-08-01,1130.0
2015-09-01,1224.0
2015-10-01,1058.0
2015-11-01,1172.0
2015-12-01,1146.0
2016-01-01,1092.0
2016-02-01,1225.0
2016-03-01,1111.0
2016-04-01,1163.0
2016-05-01,1148.0
2016-06-01,1203.0
2016-07-01,1239.0
2016-08-01,1171.0
2016-09-01,1068.0
2016-10-01,1313.0
2016-11-01,1140.0
2016-12-01,1252.0
2017-01-01,1190.0
2017-02-01,1271.0
2017-03-01,1190.0
2017-04-01,1146.0
2017-05-01,1157.0
2017-06-01,1249.0
2017-07-01,1206.0
2017-08-01,1159.0
2017-09-01,1181.0
2017-10-01,1257.0
2017-11-01,1273.0
2017-12-01,1177.0
2018-01-01,1299.0
2018-02-01,1277.0
2018-03-01,1318.0
2018-04-01,1276.0
2018-05-01,1357.0
2018-06-01,1192.0
2018-07-01,1208.0
2018-08-01,1288.0
2018-09-01,1250.0
2018-10-01,1221.0
2018-11-01,1181.0
2018-12-01,1095.0
2019-01-01,1232.0
2019-02-01,1128.0
2019-03-01,1195.0
2019-04-01,1267.0
2019-05-01,1307.0
2019-06-01,1228.0
2019-07-01,1245.0
2019-08-01,1367.0
2019-09-01,1300.0
2019-10-01,1332.0
2019-11-01,1346.0
2019-12-01,1551.0
2020-01-01,1572.0
2020-02-01,1565.0
2020-03-01,1267.0
2020-04-01,925.0
2020-05-01,1054.0
2020-06-01,1266.0
2020-07-01,1529.0
2020-08-01,1377.0
2020-09-01,1463.0
2020-10-01,1537.0
2020-11-01,1545.0
2020-12-01,1663.0
2021-01-01,1602.0
2021-02-01,1422.0
2021-03-01,1700.0
2021-04-01,1484.0
2021-05-01,1600.0
2021-06-01,1661.0
2021-07-01,1593.0
2021-08-01,1576.0
2021-09-01,1560.0
2021-10-01,1572.0
2021-11-01,1712.0
2021-12-01,1787.0
2022-01-01,1669.0
2022-02-01,1771.0
2022-03-01,1713.0
2022-04-01,1803.0
2022-05-01,1543.0
2022-06-01,1561.0
2022-07-01,1371.0
2022-08-01,1505.0
2022-09-01,1463.0
2022-10-01,1432.0
2022-11-01,1427.0
2022-12-01,1357.0
2023-01-01,1340.0
2023-02-01,1436.0
2023-03-01,1380.0
2023-04-01,1348.0
2023-05-01,1583.0
2023-06-01,1418.0
2023-07-01,1451.0
