DATE,US HOME PRICE INDEX,GROSS DEMOSTRIC PRODUCT,HOMEOWNERSHIP RATE,HOUSING STARTS,MEDIAN SALES PRICE,MORTGAGE RATE,POPULATION,UNEMP RATE
2003-01-01,5.5526572136306305,11174.129,68.0,1853.0,12.133507329024972,5.916,289412.0,1.916922612182061
2003-02-01,5.559565623895792,0.0,68.0,1629.0,12.133507329024972,5.8425,289606.0,1.9315214116032138
2003-03-01,5.565653864334387,0.0,68.0,1726.0,12.133507329024972,5.745,289809.0,1.9315214116032138
2003-04-01,5.571271513595205,11312.766,68.0,1643.0,12.164213655182222,5.8125,290024.0,1.9459101490553132
2003-05-01,5.577727823315549,0.0,68.0,1751.0,12.164213655182222,5.484,290250.0,1.9600947840472698
2003-06-01,5.584615982464984,0.0,68.0,1867.0,12.164213655182222,5.23,290484.0,1.9878743481543455
2003-07-01,5.5930520110459785,11566.669,68.4,1897.0,12.164734893029634,5.6325,290726.0,1.9740810260220096
2003-08-01,4.912426918577043,0.0,68.4,1833.0,12.164734893029634,6.264,290974.0,1.9600947840472698
2003-09-01,4.922124611891888,0.0,68.4,1939.0,12.164734893029634,6.1475,291222.0,1.9600947840472698
2003-10-01,4.931094127296733,11772.234,68.6,1967.0,12.200059603373045,5.952,291463.0,1.9459101490553132
2003-11-01,4.940169910423751,0.0,68.6,2083.0,12.200059603373045,5.9325,291677.0,1.916922612182061
2003-12-01,4.950028588785986,0.0,68.6,2057.0,12.200059603373045,5.876,291868.0,1.9021075263969205
2004-01-01,4.960366036607407,11923.447,68.6,1911.0,12.267642702634728,5.7125,292046.0,1.9021075263969205
2004-02-01,4.971145744809779,0.0,68.6,1846.0,12.267642702634728,5.635,292230.0,1.8870696490323797
2004-03-01,4.984010649667089,0.0,68.6,1998.0,12.267642702634728,5.445,292434.0,1.916922612182061
2004-04-01,4.994458485567494,12112.815,69.2,2003.0,12.2904183895416,5.83,292651.0,1.8870696490323797
2004-05-01,5.005193849586835,0.0,69.2,1981.0,12.2904183895416,6.27,292872.0,1.8870696490323797
2004-06-01,5.0162859656050705,0.0,69.2,1828.0,12.2904183895416,6.2875,293103.0,1.8870696490323797
2004-07-01,5.02610173633017,12305.307,69.0,2002.0,12.271396795480596,6.056,293350.0,1.8718021769015913
2004-08-01,5.034566641387959,0.0,69.0,2024.0,12.271396795480596,5.8675,293603.0,1.8562979903656263
2004-09-01,5.044579289315641,0.0,69.0,1905.0,12.271396795480596,5.754,293857.0,1.8562979903656263
2004-10-01,5.05465217951303,12527.214,69.2,2072.0,12.3406079091076,5.7225,294104.0,1.8718021769015913
2004-11-01,5.0659249258130865,0.0,69.2,1782.0,12.3406079091076,5.73,294337.0,1.8562979903656263
2004-12-01,5.077234191200746,0.0,69.2,2042.0,12.3406079091076,5.752,294561.0,1.8562979903656263
2005-01-01,5.08937253463364,12767.286,69.1,2144.0,12.356649805075568,5.71,294768.0,1.840549633397487
2005-02-01,5.10196179199021,0.0,69.1,2207.0,12.356649805075568,5.6275,294955.0,1.8562979903656263
2005-03-01,5.116867429782956,0.0,69.1,1864.0,12.356649805075568,5.928,295149.0,1.824549292051046
2005-04-01,5.126941684492907,12922.656,68.6,2061.0,12.361797799507952,5.855,295359.0,1.824549292051046
2005-05-01,5.137861014356843,0.0,68.6,2025.0,12.361797799507952,5.72,295582.0,1.8082887711792655
2005-06-01,5.148598518298095,0.0,68.6,2068.0,12.361797799507952,5.582,295824.0,1.791759469228055
2005-07-01,5.158250377650918,13142.642,68.8,2054.0,12.373284794623576,5.695,296077.0,1.791759469228055
2005-08-01,5.167308503953455,0.0,68.8,2095.0,12.373284794623576,5.82,296338.0,1.7749523509116738
2005-09-01,5.178621252122844,0.0,68.8,2151.0,12.373284794623576,5.774,296606.0,1.791759469228055
2005-10-01,5.187542218188711,13324.204,69.0,2065.0,12.403286919899765,6.065,296857.0,1.791759469228055
2005-11-01,5.1967275107864035,0.0,69.0,2147.0,12.403286919899765,6.33,297089.0,1.791759469228055
2005-12-01,5.203512059274125,0.0,69.0,1994.0,12.403286919899765,6.272,297311.0,1.7749523509116738
2006-01-01,5.211238714568223,13599.16,68.5,2273.0,12.419977652611005,6.145,297526.0,1.7404661748405046
2006-02-01,5.216494325020253,0.0,68.5,2119.0,12.419977652611005,6.2525,297734.0,1.7578579175523736
2006-03-01,5.222321459520114,0.0,68.5,1969.0,12.419977652611005,6.324,297950.0,1.7404661748405046
2006-04-01,5.222132624014162,13753.424,68.7,1821.0,12.414309644189709,6.5075,298170.0,1.7404661748405046
2006-05-01,5.221198712991724,0.0,68.7,1942.0,12.414309644189709,6.5975,298401.0,1.7227665977411035
2006-06-01,5.217687403140268,0.0,68.7,1802.0,12.414309644189709,6.682,298653.0,1.7227665977411035
2006-07-01,5.215305254553972,13870.188,69.0,1737.0,12.369894975232734,6.7625,298910.0,1.7404661748405046
2006-08-01,5.212726797913834,0.0,69.0,1650.0,12.369894975232734,6.524,299178.0,1.7404661748405046
2006-09-01,5.213837328469566,0.0,69.0,1720.0,12.369894975232734,6.4025,299452.0,1.7047480922384253
2006-10-01,5.21601126599896,14039.56,68.9,1491.0,12.41064888623027,6.3575,299710.0,1.6863989535702288
2006-11-01,5.21824007494315,0.0,68.9,1570.0,12.41064888623027,6.24,299950.0,1.7047480922384253
2006-12-01,5.221106894306557,0.0,68.9,1649.0,12.41064888623027,6.135,300178.0,1.6863989535702288
2007-01-01,5.223146522053268,14215.651,68.4,1409.0,12.458390459140501,6.2175,300398.0,1.7227665977411035
2007-02-01,5.2235830444319715,0.0,68.4,1480.0,12.458390459140501,6.285,300608.0,1.7047480922384253
2007-03-01,5.2211663073596215,0.0,68.4,1495.0,12.458390459140501,6.156,300823.0,1.6863989535702288
2007-04-01,5.214990103958283,14402.082,68.2,1490.0,12.397523238911763,6.18,301045.0,1.7047480922384253
2007-05-01,5.207297968160868,0.0,68.2,1415.0,12.397523238911763,6.262,301278.0,1.6863989535702288
2007-06-01,5.199899362456786,0.0,68.2,1448.0,12.397523238911763,6.6575,301528.0,1.7227665977411035
2007-07-01,5.19357332749612,14564.117,68.2,1354.0,12.395870352803575,6.695,301790.0,1.7404661748405046
2007-08-01,5.188033640643204,0.0,68.2,1330.0,12.395870352803575,6.572,302064.0,1.7227665977411035
2007-09-01,5.184913478413372,0.0,68.2,1183.0,12.395870352803575,6.3825,302334.0,1.7404661748405046
2007-10-01,5.179668956563275,14715.058,67.8,1264.0,12.381709408795407,6.375,302590.0,1.7404661748405046
2007-11-01,5.1713188737026785,0.0,67.8,1197.0,12.381709408795407,6.208,302834.0,1.7404661748405046
2007-12-01,5.1667383525057895,0.0,67.8,1037.0,12.381709408795407,6.095,303062.0,1.791759469228055
2008-01-01,5.159813632296956,14706.538,67.8,1084.0,12.36265322789447,5.758,303280.0,1.791759469228055
2008-02-01,5.150634889389143,0.0,67.8,1103.0,12.36265322789447,5.9175,303494.0,1.7749523509116738
2008-03-01,5.141973450001177,0.0,67.8,1005.0,12.36265322789447,5.97,303707.0,1.8082887711792655
2008-04-01,5.131896717585747,14865.701,68.1,1013.0,12.368620824600177,5.9175,303926.0,1.791759469228055
2008-05-01,5.121932154740057,0.0,68.1,973.0,12.368620824600177,6.036,304157.0,1.8562979903656263
2008-06-01,5.112090192751588,0.0,68.1,1046.0,12.368620824600177,6.32,304396.0,1.8870696490323797
2008-07-01,5.103311705545359,14898.999,67.9,923.0,12.330504638906516,6.426,304646.0,1.916922612182061
2008-08-01,5.093670443024968,0.0,67.9,844.0,12.330504638906516,6.4775,304903.0,1.9600947840472698
